Team,Passes,Shots,Saves,Tackles,Yellow Cards,Red Cards
Arsenal,"21,249",571,118,709,40,4
Manchester City,"20,488",615,86,729,61,0
Manchester United,"20,070",430,90,760,65,1
Liverpool,"19,733",629,81,871,61,3
Chelsea,"19,664",526,122,790,58,5
Tottenham Hotspur,"18,649",659,89,805,72,0
Swansea City,"18,169",441,119,638,60,1
Everton,"17,947",491,127,730,44,5
AFC Bournemouth,"17,270",464,90,709,53,1
Stoke City,"16,342",419,121,710,51,4
Southampton,"15,913",519,94,714,57,6
Aston Villa,"15,308",380,116,731,75,3
Newcastle United,"15,118",397,115,793,60,5
West Ham United,"15,031",558,111,711,58,5
Watford,"14,531",446,121,794,73,3
Norwich City,"14,483",418,103,608,61,3
Crystal Palace,"13,785",469,122,649,61,2
Leicester City,"13,370",522,99,869,48,3
Sunderland,"12,799",439,156,767,64,2
West Bromwich Albion,"12,262",388,109,642,65,3